Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,limnephilidae,per_cobble,-0.2425,0.4182,-0.9426,-0.2225,0.412,1.0022,1295
Occupancy,molannidae,per_cobble,0.0618,0.5207,-0.82,0.0651,0.9482,1.0041,1225
Occupancy,odontoceridae,per_cobble,0.1191,0.5293,-0.7817,0.1235,0.9349,1.0075,1482
Occupancy,philopotamidae,per_cobble,0.3624,0.3373,-0.1552,0.3358,0.9168,1.005,1500
Occupancy,phryganeidae,per_cobble,0.0169,0.529,-0.8237,0.0324,0.8671,1.0054,1192
Occupancy,polycentropodidae,per_cobble,0.3252,0.5307,-0.4992,0.2846,1.2616,1.0074,1275
Occupancy,rhyacophilidae,per_cobble,0.1029,0.4514,-0.6263,0.0892,0.8538,1.0052,1500
Occupancy,uenoidae,per_cobble,-0.0135,0.5368,-0.8496,-0.0242,0.851,1.0167,1063
Occupancy,other_flies,substrate_metric_total,0.7288,0.3476,0.2106,0.7102,1.3212,1.0089,1500
Occupancy,central_stoneroller_minnow,substrate_metric_total,0.6358,0.5053,-0.1409,0.613,1.5093,1.0002,1170
Occupancy,johnny_darter,substrate_metric_total,0.5022,0.5174,-0.3658,0.5006,1.343,1.0041,972
Occupancy,mtdusky,substrate_metric_total,0.9572,0.4134,0.3796,0.9049,1.7023,1.0054,1153
Occupancy,nodusky,substrate_metric_total,0.8095,0.3912,0.1952,0.7811,1.478,1.0164,1369
Occupancy,twolined,substrate_metric_total,0.9201,0.3239,0.4397,0.8931,1.5026,1.0042,1334
Occupancy,red,substrate_metric_total,0.5474,0.4573,-0.1727,0.5322,1.2803,1.0042,1500
Occupancy,redback,substrate_metric_total,0.4211,0.4282,-0.2798,0.4366,1.118,1.0115,1298
Occupancy,slimy,substrate_metric_total,0.448,0.4478,-0.3095,0.45,1.1564,1.001,1500
Occupancy,blacknose_dace,substrate_metric_total,0.622,0.4791,-0.1216,0.6029,1.4226,1.0104,1500
Occupancy,creek_chub,substrate_metric_total,0.4518,0.4863,-0.3356,0.4509,1.2291,1.0016,1263
Occupancy,rainbow_darter,substrate_metric_total,0.5504,0.504,-0.2459,0.5257,1.3811,1.0006,1306
Occupancy,rainbow_trout,substrate_metric_total,0.5281,0.4961,-0.2087,0.5199,1.3348,1.0029,1330
Occupancy,white_sucker,substrate_metric_total,0.3613,0.5057,-0.4873,0.375,1.1563,1.0006,1333
Occupancy,aquatic_worms,substrate_metric_total,0.7438,0.336,0.2464,0.7284,1.3375,1.0188,1500
Occupancy,sow_bugs,substrate_metric_total,0.738,0.4004,0.1544,0.7016,1.4712,1.0035,1500
Occupancy,scuds,substrate_metric_total,0.5544,0.4114,-0.136,0.5507,1.2094,1.0337,1023
Occupancy,water_mites,substrate_metric_total,0.7825,0.3798,0.2193,0.7483,1.4626,1.0022,1290
Occupancy,damselfly_nymphs,substrate_metric_total,0.4898,0.3843,-0.1101,0.4676,1.1501,1.0184,1366
Occupancy,alderfly_larvae,substrate_metric_total,0.546,0.3624,-0.005,0.5389,1.1596,1.0074,1322
Occupancy,other_beetles,substrate_metric_total,0.3405,0.4184,-0.2899,0.3214,1.0406,1.0047,884
Occupancy,crayfish,substrate_metric_total,0.1886,0.5197,-0.6705,0.2032,1.0256,1.0002,1036
Occupancy,dragonfly_nymphs,substrate_metric_total,0.6018,0.4161,-0.0264,0.5803,1.3196,1.0012,1375
Occupancy,riffle_beetles,substrate_metric_total,0.1459,0.2718,-0.3039,0.1501,0.5944,1.0097,1200
Occupancy,midges,substrate_metric_total,0.8785,0.3606,0.3543,0.8415,1.5143,1.0067,1265
Occupancy,snails,substrate_metric_total,0.451,0.3968,-0.1758,0.4577,1.0769,1.008,1384
Occupancy,clams,substrate_metric_total,0.5331,0.4499,-0.193,0.5271,1.2763,1.005,1500
Occupancy,fishfly_larvae,substrate_metric_total,0.4967,0.5233,-0.371,0.5021,1.338,1.005,1136
Occupancy,water_penny_beetles,substrate_metric_total,0.5875,0.4334,-0.0405,0.564,1.3052,1.0123,987
Occupancy,cranefly_larvae,substrate_metric_total,0.7565,0.4802,0.0804,0.7055,1.6165,1.0017,1250
Occupancy,baetidae,substrate_metric_total,0.7012,0.323,0.2327,0.6703,1.2976,1.0003,1367
Occupancy,caenidae,substrate_metric_total,0.421,0.4721,-0.3514,0.4347,1.1666,1.002,1082
