Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,longtail,per_cobble,0.3773,0.4354,-0.3153,0.3847,1.044,1.009,1145
Occupancy,red,per_cobble,0.7069,0.3231,0.1879,0.6981,1.239,1.0022,1500
Occupancy,redback,per_cobble,0.5819,0.3634,-0.0087,0.5809,1.1989,1.0197,1500
Occupancy,slimy,per_cobble,0.709,0.3989,0.0871,0.6936,1.4016,1.0029,1179
Occupancy,blacknose_dace,per_cobble,0.7199,0.4087,0.0941,0.6952,1.3975,1.0008,1500
Occupancy,central_stoneroller_minnow,per_cobble,0.6693,0.4107,0.0218,0.653,1.3722,1.0044,1371
Occupancy,common_shiner,per_cobble,0.6346,0.4364,-0.064,0.621,1.3403,1.0057,1184
Occupancy,creek_chub,per_cobble,0.7451,0.3742,0.1934,0.7301,1.4083,1.0048,1393
Occupancy,rainbow_darter,per_cobble,0.6724,0.3926,0.0635,0.6515,1.3297,0.9998,1500
Occupancy,rainbow_trout,per_cobble,0.6943,0.4177,0.0417,0.6811,1.4139,1.0026,1500
Occupancy,white_sucker,per_cobble,0.8426,0.4113,0.2223,0.8132,1.5703,1.006,1307
Occupancy,yellow_bullhead_catfish,per_cobble,0.792,0.3937,0.1842,0.7744,1.4405,1.0024,1500
Occupancy,sessile_animals,per_cobble,0.6748,0.4024,0.0299,0.6782,1.3516,1.0123,1215
Occupancy,aquatic_worms,per_cobble,0.6795,0.386,0.0748,0.6531,1.3331,1.0009,1392
Occupancy,sow_bugs,per_cobble,0.6426,0.3222,0.1593,0.6175,1.1956,1.0059,1571
Occupancy,scuds,per_cobble,0.3204,0.3257,-0.1908,0.32,0.8653,1.0164,1363
Occupancy,water_mites,per_cobble,0.4968,0.4597,-0.2712,0.5052,1.2045,1.0007,1046
Occupancy,damselfly_nymphs,per_cobble,0.4908,0.312,-0.0229,0.4865,1.0232,1.0029,1264
Occupancy,alderfly_larvae,per_cobble,0.599,0.4009,-0.0373,0.5816,1.2685,1.002,1290
Occupancy,other_beetles,per_cobble,0.4811,0.4546,-0.259,0.4839,1.246,1.0027,1065
Occupancy,crayfish,per_cobble,0.955,0.347,0.4392,0.9222,1.5595,1.0033,1241
Occupancy,dragonfly_nymphs,per_cobble,0.6393,0.3738,0.0509,0.6409,1.238,1.0093,1300
Occupancy,riffle_beetles,per_cobble,0.516,0.2686,0.0601,0.5147,0.9633,1.0031,1500
Occupancy,other_flies,per_cobble,0.6232,0.3711,0.0458,0.6155,1.2428,1.0096,1354
Occupancy,snails,per_cobble,0.4413,0.3281,-0.0996,0.4468,0.9568,1.0161,1261
Occupancy,clams,per_cobble,0.5847,0.3461,0.0405,0.5845,1.1588,1.0025,1500
Occupancy,fishfly_larvae,per_cobble,0.7459,0.3082,0.241,0.7353,1.2759,1.0047,1500
Occupancy,water_penny_beetles,per_cobble,0.9227,0.3832,0.3434,0.9071,1.56,1.002,1500
Occupancy,cranefly_larvae,per_cobble,0.9555,0.3721,0.3943,0.94,1.5877,1.0011,1361
Occupancy,ameletidae,per_cobble,0.5541,0.3572,-0.0163,0.5459,1.163,1.0056,1240
Occupancy,baetidae,per_cobble,0.6465,0.4108,-0.011,0.6269,1.3422,0.9995,1203
Occupancy,caenidae,per_cobble,0.4848,0.4717,-0.3264,0.4907,1.2391,1.0069,714
Occupancy,ephemeridae,per_cobble,0.6842,0.4172,0.0261,0.6726,1.3836,1.0009,1056
Occupancy,heptageniidae,per_cobble,0.4679,0.3316,-0.0618,0.4499,1.0234,1.003,984
Occupancy,leptohyphidae,per_cobble,0.6133,0.4258,-0.0624,0.6073,1.3039,1.0015,1077
Occupancy,leptophlebiidae,per_cobble,0.5523,0.3473,-0.0095,0.5608,1.1203,1.0125,1500
Occupancy,chloroperlidae,per_cobble,0.6852,0.419,0.075,0.658,1.4161,1.0012,1500
Occupancy,leuctridae,per_cobble,0.6809,0.3525,0.1556,0.6511,1.3052,1.0033,1129
Occupancy,nemouridae,per_cobble,0.5354,0.4059,-0.1309,0.524,1.2234,1.0025,1500
Occupancy,perlidae,per_cobble,0.6819,0.4146,0.0208,0.6737,1.3482,1.0035,1500
Occupancy,perlodidae,per_cobble,0.5134,0.4512,-0.2284,0.5196,1.2461,1.0006,1373
Occupancy,glossosomatidae,per_cobble,0.6695,0.4354,0.017,0.6609,1.3638,0.9998,1500
Occupancy,hydropsychidae,per_cobble,0.7905,0.3482,0.2674,0.7711,1.3926,1.0052,1500
Occupancy,hydroptilidae,per_cobble,0.6556,0.4086,-0.0086,0.6464,1.3392,1.013,1369
Occupancy,lepidostomatidae,per_cobble,0.7631,0.3376,0.2353,0.7483,1.3346,1.0047,1500
Occupancy,limnephilidae,per_cobble,0.3,0.3556,-0.2895,0.2876,0.9197,1.0206,801
Occupancy,molannidae,per_cobble,0.6071,0.4293,-0.1088,0.6118,1.3036,0.9993,1500
Occupancy,odontoceridae,per_cobble,0.7673,0.3632,0.1962,0.7609,1.3517,1.0029,1314
Occupancy,philopotamidae,per_cobble,0.9633,0.4176,0.3723,0.9105,1.685,1.0029,1353
Occupancy,phryganeidae,per_cobble,0.5389,0.4457,-0.193,0.5295,1.2878,1.0077,981
Occupancy,polycentropodidae,per_cobble,1.0434,0.369,0.5244,1.0025,1.6997,1.0024,1039
Occupancy,rhyacophilidae,per_cobble,0.7315,0.3745,0.1809,0.7166,1.3863,1.002,981
Occupancy,uenoidae,per_cobble,0.8164,0.3777,0.2794,0.7847,1.4676,1.007,1272
Occupancy,midges,substrate_metric_total,0.3388,0.2701,-0.1192,0.3332,0.7835,1.0032,1388
Occupancy,mole,substrate_metric_total,0.1321,0.3674,-0.4772,0.1442,0.7356,1.0038,1500
Occupancy,johnny_darter,substrate_metric_total,0.1922,0.3637,-0.4153,0.1948,0.7447,1.01,1385
Occupancy,mtdusky,substrate_metric_total,0.3971,0.3403,-0.1437,0.3848,0.9757,1.0111,1678
Occupancy,nodusky,substrate_metric_total,0.5322,0.3504,0.0243,0.4972,1.1591,1.007,1382
Occupancy,twolined,substrate_metric_total,0.6662,0.2901,0.2389,0.639,1.1994,1.0042,1500
Occupancy,longtail,substrate_metric_total,0.0488,0.354,-0.5403,0.0597,0.6099,1.0005,1486
Occupancy,red,substrate_metric_total,0.442,0.3143,-0.0488,0.4204,1.0065,1.0042,1113
Occupancy,redback,substrate_metric_total,0.3198,0.3061,-0.1713,0.3132,0.8479,1.0007,1500
Occupancy,slimy,substrate_metric_total,0.2684,0.3399,-0.2518,0.2588,0.8371,0.9996,1524
Occupancy,blacknose_dace,substrate_metric_total,0.3688,0.3519,-0.1834,0.3502,0.996,1.0123,1276
Occupancy,central_stoneroller_minnow,substrate_metric_total,0.2239,0.3714,-0.3949,0.2196,0.8368,0.9996,1500
Occupancy,common_shiner,substrate_metric_total,0.224,0.3622,-0.3789,0.2147,0.8445,1.0061,1500
Occupancy,creek_chub,substrate_metric_total,0.153,0.303,-0.3635,0.1599,0.6604,1.0115,1500
Occupancy,rainbow_darter,substrate_metric_total,0.2674,0.3659,-0.3008,0.2602,0.8786,1.002,1500
Occupancy,rainbow_trout,substrate_metric_total,0.2794,0.347,-0.2832,0.2868,0.8393,1.0089,1500
Occupancy,white_sucker,substrate_metric_total,0.2971,0.3703,-0.2651,0.2876,0.9309,1.005,1387
Occupancy,yellow_bullhead_catfish,substrate_metric_total,0.2376,0.37,-0.3418,0.224,0.8374,1.0038,1500
Occupancy,sessile_animals,substrate_metric_total,0.329,0.3541,-0.1959,0.3192,0.9389,1.0129,1500
Occupancy,aquatic_worms,substrate_metric_total,0.296,0.2766,-0.1322,0.274,0.7939,0.9999,1500
Occupancy,sow_bugs,substrate_metric_total,0.3627,0.2792,-0.0677,0.3446,0.8275,1.0049,1587
Occupancy,scuds,substrate_metric_total,0.3107,0.2633,-0.1208,0.305,0.7427,1.0012,1500
